Lat,Long,trapID
31.1827,-84.4781,1
31.1975,-84.4771,2
31.1982,-84.4742,3
31.2006,-84.4729,4
31.2068,-84.4567,5
31.1874,-84.4707,6
31.2061,-84.4746,7
31.1891,-84.461,8
31.2034,-84.4631,9
