processid,BOLDID,recordID,catalognum,fieldnum,institution_storing,bin_uri,phylum_taxID,phylum_name,class_taxID,class_name,order_taxID,order_name,family_taxID,family_name,subfamily_taxID,subfamily_name,genus_taxID,genus_name,species_taxID,name,identification_provided_by,voucher_type,tissue_type,collectors,date,lifestage,sex,reproduction,extrainfo,notes,Lat,Long,trapID,coord_source,coord_accuracy,country,province,region,exactsite,image_ids,image_urls,copyright_licenses,trace_ids,trace_links,run_dates,sequencing_centers,directions,seq_primers,marker_codes
NEONU1550-12,NEONTculicid6214,3038494, ,culicid6214,"National Ecological Observatory Network, United States",BOLD:AAE7788,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6441,Culex,14083,Culex salinarius,C. Roxanne Connelly, ,leg,Robert Nelson,9/25/2012,A, ,S, , ,29.728,-81.968,8, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745027|4745120,http://trace.boldsystems.org/traceIO/bold.org/6592289|http://trace.boldsystems.org/traceIO/bold.org/6592382,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1547-12,NEONTculicid6279,3038491, ,culicid6279,"National Ecological Observatory Network, United States",BOLD:AAE7788,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6441,Culex,14083,Culex salinarius,C. Roxanne Connelly, ,leg,Robert Nelson,9/25/2012,A, ,S, , ,29.728,-81.968,8, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745024|4745117,http://trace.boldsystems.org/traceIO/bold.org/6592286|http://trace.boldsystems.org/traceIO/bold.org/6592379,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1548-12,NEONTculicid6280,3038492, ,culicid6280,"National Ecological Observatory Network, United States",BOLD:AAE7788,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6441,Culex,14083,Culex salinarius,C. Roxanne Connelly, ,leg,Robert Nelson,9/25/2012,A, ,S, , ,29.728,-81.968,8, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745025|4745118,http://trace.boldsystems.org/traceIO/bold.org/6592287|http://trace.boldsystems.org/traceIO/bold.org/6592380,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1503-12,NEONTculicid6261,3038447, ,culicid6261,"National Ecological Observatory Network, United States",BOLD:AAG3848,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6441,Culex,101380,Culex erraticus,Hilda Lynn, ,leg,Robert Nelson,7/25/2012,A, ,S, , ,29.692,-81.959,9, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745411|4745506,http://trace.boldsystems.org/traceIO/bold.org/6592673|http://trace.boldsystems.org/traceIO/bold.org/6592768,2013-01-08 10:38:48|2013-01-08 18:18:24,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1509-12,NEONTculicid6267,3038453, ,culicid6267,"National Ecological Observatory Network, United States",BOLD:AAC9486,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,373188,Aedes infirmatus,Hilda Lynn, ,leg,Robert Nelson,7/25/2012,A, ,S, , ,29.692,-81.959,9, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745417|4745512,http://trace.boldsystems.org/traceIO/bold.org/6592679|http://trace.boldsystems.org/traceIO/bold.org/6592774,2013-01-08 10:38:48|2013-01-08 18:18:24,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1502-12,NEONTculicid6260,3038446, ,culicid6260,"National Ecological Observatory Network, United States",BOLD:AAG3848,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6441,Culex,101380,Culex erraticus,Hilda Lynn, ,leg,Robert Nelson,7/25/2012,A, ,S, , ,29.692,-81.959,9, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745410|4745505,http://trace.boldsystems.org/traceIO/bold.org/6592672|http://trace.boldsystems.org/traceIO/bold.org/6592767,2013-01-08 10:38:48|2013-01-08 18:18:24,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1510-12,NEONTculicid6268,3038454, ,culicid6268,"National Ecological Observatory Network, United States",BOLD:AAC9486,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,373188,Aedes infirmatus,Hilda Lynn, ,leg,Robert Nelson,7/25/2012,A, ,S, , ,29.692,-81.959,9, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745418|4745513,http://trace.boldsystems.org/traceIO/bold.org/6592680|http://trace.boldsystems.org/traceIO/bold.org/6592775,2013-01-08 10:38:48|2013-01-08 18:18:24,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1507-12,NEONTculicid6265,3038451, ,culicid6265,"National Ecological Observatory Network, United States",BOLD:AAG3850,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,101388,Psorophora,510727,Psorophora columbiae,Hilda Lynn, ,leg,Robert Nelson,7/25/2012,A, ,S, , ,29.692,-81.959,9, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745415|4745510,http://trace.boldsystems.org/traceIO/bold.org/6592677|http://trace.boldsystems.org/traceIO/bold.org/6592772,2013-01-08 10:38:48|2013-01-08 18:18:24,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1513-12,NEONTculicid6271,3038457, ,culicid6271,"National Ecological Observatory Network, United States",BOLD:ACC4736,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,373190,Aedes mitchellae,Hilda Lynn, ,leg,Robert Nelson,7/25/2012,A, ,S,Group variation (morph), ,29.692,-81.959,9, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745421|4745516,http://trace.boldsystems.org/traceIO/bold.org/6592683|http://trace.boldsystems.org/traceIO/bold.org/6592778,2013-01-08 10:38:48|2013-01-08 18:18:24,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1602-12,NEONTculicid6414,3038546, ,culicid6414,"National Ecological Observatory Network, United States",BOLD:AAG3850,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,101388,Psorophora,510727,Psorophora columbiae,Hilda Lynn, ,leg,Robert Nelson,7/25/2012,A, ,S, , ,29.692,-81.959,9, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745079|4745172,http://trace.boldsystems.org/traceIO/bold.org/6592341|http://trace.boldsystems.org/traceIO/bold.org/6592434,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1506-12,NEONTculicid6264,3038450, ,culicid6264,"National Ecological Observatory Network, United States", ,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,101388,Psorophora,510727,Psorophora columbiae,Hilda Lynn, ,leg,Robert Nelson,7/25/2012,A, ,S,Contaminant, ,29.692,-81.959,9, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745414|4745509,http://trace.boldsystems.org/traceIO/bold.org/6592676|http://trace.boldsystems.org/traceIO/bold.org/6592771,2013-01-08 10:38:48|2013-01-08 18:18:24,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1514-12,NEONTculicid6272,3038458, ,culicid6272,"National Ecological Observatory Network, United States",BOLD:ACC4736,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,373190,Aedes mitchellae,Hilda Lynn, ,leg,Robert Nelson,7/25/2012,A, ,S,Group variation (morph), ,29.692,-81.959,9, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745422|4745517,http://trace.boldsystems.org/traceIO/bold.org/6592684|http://trace.boldsystems.org/traceIO/bold.org/6592779,2013-01-08 10:38:48|2013-01-08 18:18:24,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1512-12,NEONTculicid6270,3038456, ,culicid6270,"National Ecological Observatory Network, United States",BOLD:ACC4736,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,373190,Aedes mitchellae,Hilda Lynn, ,leg,Robert Nelson,7/25/2012,A, ,S,Group variation (morph), ,29.692,-81.959,9, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745420|4745515,http://trace.boldsystems.org/traceIO/bold.org/6592682|http://trace.boldsystems.org/traceIO/bold.org/6592777,2013-01-08 10:38:48|2013-01-08 18:18:24,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1508-12,NEONTculicid6266,3038452, ,culicid6266,"National Ecological Observatory Network, United States",BOLD:AAG3850,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,101388,Psorophora,510727,Psorophora columbiae,Hilda Lynn, ,leg,Robert Nelson,7/25/2012,A, ,S, , ,29.692,-81.959,9, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745416|4745511,http://trace.boldsystems.org/traceIO/bold.org/6592678|http://trace.boldsystems.org/traceIO/bold.org/6592773,2013-01-08 10:38:48|2013-01-08 18:18:24,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1486-12,NEONTculicid6244,3038430, ,culicid6244,"National Ecological Observatory Network, United States",BOLD:AAC9476,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,22801,Aedes triseriatus,Hilda Lynn, ,leg,Robert Nelson,7/25/2012,A, ,S, , ,29.692,-81.959,9, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745394|4745489,http://trace.boldsystems.org/traceIO/bold.org/6592656|http://trace.boldsystems.org/traceIO/bold.org/6592751,2013-01-08 10:38:48|2013-01-08 18:18:24,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1600-12,NEONTculicid6411,3038544, ,culicid6411,"National Ecological Observatory Network, United States",BOLD:AAE0434,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6445,Uranotaenia,14070,Uranotaenia sapphirina,Hilda Lynn, ,leg,Robert Nelson,9/6/2012,A, ,S, , ,29.692,-81.959,9, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745077|4745170,http://trace.boldsystems.org/traceIO/bold.org/6592339|http://trace.boldsystems.org/traceIO/bold.org/6592432,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1511-12,NEONTculicid6269,3038455, ,culicid6269,"National Ecological Observatory Network, United States",BOLD:AAC9486,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,373188,Aedes infirmatus,Hilda Lynn, ,leg,Robert Nelson,7/25/2012,A, ,S, , ,29.692,-81.959,9, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745419|4745514,http://trace.boldsystems.org/traceIO/bold.org/6592681|http://trace.boldsystems.org/traceIO/bold.org/6592776,2013-01-08 10:38:48|2013-01-08 18:18:24,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1601-12,NEONTculicid6586,3038545, ,culicid6586,"National Ecological Observatory Network, United States",BOLD:AAG3848,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6441,Culex,101380,Culex erraticus,Hilda Lynn, ,leg,Robert Nelson,7/25/2012,A, ,S, , ,29.692,-81.959,9, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745078|4745171,http://trace.boldsystems.org/traceIO/bold.org/6592340|http://trace.boldsystems.org/traceIO/bold.org/6592433,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1603-12,NEONTculicid6590,3038547, ,culicid6590,"National Ecological Observatory Network, United States",BOLD:AAC9486,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,373188,Aedes infirmatus,Hilda Lynn, ,leg,Robert Nelson,7/25/2012,A, ,S, , ,29.692,-81.959,9, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745080|4745173,http://trace.boldsystems.org/traceIO/bold.org/6592342|http://trace.boldsystems.org/traceIO/bold.org/6592435,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
