Lat,Long,trapID
28.1251,-81.4328,1
28.1037,-81.4296,2
28.073299,-81.42856,3
28.0442,-81.4217,4
28.0639,-81.4185,5
28.0997,-81.4137,6
28.0997,-81.4137,7
28.0886,-81.3966,8
28.0583,-81.3894,9
28.1116,-81.4153,10
